Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Income_per_Family_Member,Loan_to_Income_Ratio
LP001002,Male,No,0.0,Graduate,No,5849,0.0,,360.0,1.0,Urban,Y,5849.0,0.0
LP001003,Male,Yes,1.0,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,3045.5,0.027923211169284468
LP001005,Male,Yes,0.0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,0.021992669110296566
LP001006,Male,Yes,0.0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,0.04643962848297214
LP001008,Male,No,0.0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,0.023496083986002333
LP001011,Male,Yes,2.0,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,3204.3333333333335,0.04928017718715393
LP001013,Male,Yes,0.0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,0.04070265638389032
LP001014,Male,Yes,,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,0.05202502469542312
LP001018,Male,Yes,2.0,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,1844.0,0.041926628400299475
LP001020,Male,Yes,1.0,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,11904.5,0.02717645226600218
LP001024,Male,Yes,2.0,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,1300.0,0.021868166198063105
LP001027,Male,Yes,2.0,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,1446.6666666666667,0.04358256697321072
LP001028,Male,Yes,2.0,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,3726.3333333333335,0.06506180871828236
LP001029,Male,No,0.0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,0.061488673139158574
LP001030,Male,Yes,2.0,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,795.0,0.013076923076923076
LP001032,Male,No,0.0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,0.025247424762674206
LP001034,Male,No,1.0,Not Graduate,No,3596,0.0,100.0,240.0,,Urban,Y,1798.0,0.027800945232137893
LP001036,Female,No,0.0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,0.02164625462831102
LP001038,Male,Yes,0.0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,0.02720949263502455
LP001041,Male,Yes,0.0,Graduate,,2600,3500.0,115.0,,1.0,Urban,Y,6100.0,0.04421376393694733
LP001043,Male,Yes,0.0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,0.013575251272679808
LP001046,Male,Yes,1.0,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,5790.0,0.05288784419073204
LP001047,Male,Yes,0.0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,0.04459823144944252
LP001050,,Yes,2.0,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,1760.6666666666667,0.033273915626856804
LP001052,Male,Yes,1.0,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N,3321.0,0.04061323292092523
LP001066,Male,Yes,0.0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,0.019976989854617717
LP001068,Male,Yes,0.0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,0.04357142857142857
LP001073,Male,Yes,2.0,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,1755.3333333333333,0.026023184291459663
LP001086,Male,No,0.0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,1442.0,0.024255024255024255
LP001087,Female,No,2.0,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,1944.3333333333333,0.03199146894161557
LP001091,Male,Yes,1.0,Graduate,,4166,3369.0,201.0,360.0,,Urban,N,3767.5,0.0482361411087113
